,Country,Happiness,GDP per Capita,Social Support,Life Expectancy,Freedom,Corruption,Generosity,Year,latitude,longitude
212,Uruguay,6.379,1.093,1.459,0.771,0.625,0.13,0.155,2018,-32.522779,-55.765835
213,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,2019,-32.522779,-55.765835
214,Uruguay,6.440100193,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,2020,-32.522779,-55.765835
215,Uruguay,6.431,9.966,0.925,69.1,0.896,-0.092,0.59,2021,-32.522779,-55.765835
216,Colombia,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2015,4.570868,-74.297333
217,Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,2016,4.570868,-74.297333
218,Colombia,6.356999874,1.070622325,1.402182937,0.595027924,0.477487415,0.149014473,0.046668742,2017,4.570868,-74.297333
219,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2018,4.570868,-74.297333
220,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034,2019,4.570868,-74.297333
221,Colombia,6.163400173,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,2020,4.570868,-74.297333
222,Colombia,6.012,9.557,0.847,68.001,0.837,-0.135,0.841,2021,4.570868,-74.297333
223,Thailand,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2015,15.870032,100.992541
224,Thailand,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2016,15.870032,100.992541
225,Thailand,6.423999786,1.127868772,1.425792456,0.647239029,0.580200732,0.57212311,0.031612735,2017,15.870032,100.992541
226,Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029,2018,15.870032,100.992541
227,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028,2019,15.870032,100.992541
228,Thailand,5.998799801,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,2020,15.870032,100.992541
229,Thailand,5.985,9.805,0.888,67.401,0.884,0.287,0.895,2021,15.870032,100.992541
230,Saudi Arabia,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2015,23.885942,45.079162
231,Saudi Arabia,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2016,23.885942,45.079162
232,Saudi Arabia,6.343999863,1.530623555,1.286677599,0.59014833,0.449750572,0.147616014,0.273432255,2017,23.885942,45.079162
233,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2018,23.885942,45.079162
234,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,2019,23.885942,45.079162
235,Saudi Arabia,6.406499863,10.79781246,0.874067068,66.30514526,0.854191244,-0.168695062,0.682619512,2020,23.885942,45.079162
236,Saudi Arabia,6.494,10.743,0.891,66.603,0.877,-0.149,0.684,2021,23.885942,45.079162
237,Spain,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2015,40.463667,-3.74922
238,Spain,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2016,40.463667,-3.74922
239,Spain,6.402999878,1.384397864,1.532090902,0.8889606,0.40878123,0.190133572,0.070914097,2017,40.463667,-3.74922
240,Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.074,2018,40.463667,-3.74922
241,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,2019,40.463667,-3.74922
242,Spain,6.400899887,10.46292686,0.921125412,74.40270996,0.751989543,-0.050961714,0.765859902,2020,40.463667,-3.74922
243,Spain,6.491,10.571,0.932,74.7,0.761,-0.081,0.745,2021,40.463667,-3.74922
244,Malta,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,2015,35.937496,14.375416
245,Malta,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,2016,35.937496,14.375416
